area_sqft,bedrooms,bathrooms,balconies,age_years,floor,total_floors,parking,location,furnishing,property_type,price
4671,5,2,2,3,19,26,0,Pune,Unfurnished,Apartment,32394069.72
1856,5,1,3,23,6,25,0,Mumbai,Semi-Furnished,Villa,14606949.69
4432,3,1,1,14,6,10,2,Mumbai,Semi-Furnished,Independent House,55192171.92
3388,5,1,3,23,10,19,0,Hyderabad,Unfurnished,Apartment,15664187.41
1331,2,4,3,27,1,20,0,Delhi,Unfurnished,Villa,14608177.35
4418,3,2,3,3,11,26,0,Bangalore,Unfurnished,Independent House,47975397.69
4772,5,4,3,3,16,20,0,Chennai,Unfurnished,Apartment,39350078.74
4956,1,3,2,21,6,27,0,Bangalore,Semi-Furnished,Apartment,47860349.66
1401,2,2,2,0,2,14,2,Delhi,Semi-Furnished,Independent House,17036804.11
2111,2,4,1,4,12,21,2,Delhi,Semi-Furnished,Villa,31297745.71
2243,2,1,0,13,4,11,1,Nagpur,Unfurnished,Independent House,10794372.27
688,2,2,0,20,14,27,1,Hyderabad,Furnished,Apartment,5764757.46
665,2,2,1,11,1,15,0,Nagpur,Semi-Furnished,Apartment,5556392.18
2446,5,3,3,28,8,9,0,Delhi,Unfurnished,Apartment,21152062.68
2591,1,3,3,12,16,16,0,Bangalore,Semi-Furnished,Apartment,16360414.78
4346,1,1,0,5,11,28,1,Nagpur,Semi-Furnished,Independent House,35881951.86
959,4,2,1,24,3,10,1,Mumbai,Unfurnished,Independent House,7504652.51
4334,5,4,0,16,17,27,2,Mumbai,Unfurnished,Apartment,31054876.37
2143,1,2,2,12,4,16,0,Delhi,Unfurnished,Apartment,22201653.05
405,1,3,2,14,4,18,2,Pune,Semi-Furnished,Independent House,4279376.37
3488,5,2,0,29,9,21,2,Nagpur,Furnished,Apartment,21736291.55
2291,5,1,0,1,2,13,0,Pune,Semi-Furnished,Villa,28541104.29
834,4,3,1,1,8,28,2,Bangalore,Furnished,Apartment,10900097.43
737,4,2,1,5,16,25,2,Pune,Unfurnished,Independent House,8301784.85
1344,3,1,2,26,13,15,2,Nagpur,Unfurnished,Apartment,6575721.81
692,1,1,2,4,5,20,1,Nagpur,Unfurnished,Apartment,4440325.15
3785,1,4,2,21,2,18,1,Mumbai,Furnished,Apartment,43571176.88
2266,1,2,0,0,20,21,0,Bangalore,Furnished,Villa,28695263.11
4610,1,3,0,15,20,21,2,Mumbai,Furnished,Apartment,67976254.55
4328,5,3,3,28,19,30,0,Chennai,Unfurnished,Apartment,21855655.92
4806,3,3,0,6,17,17,2,Mumbai,Semi-Furnished,Apartment,39602220.67
1455,1,1,2,21,0,29,2,Mumbai,Semi-Furnished,Apartment,11923812.42
1414,3,2,2,11,5,30,2,Pune,Furnished,Independent House,17269041.5
3936,5,4,0,18,9,15,1,Mumbai,Furnished,Apartment,44021136.9
3641,3,4,2,20,15,28,1,Chennai,Unfurnished,Villa,28120984.14
2243,4,4,2,22,20,29,1,Mumbai,Semi-Furnished,Apartment,31780481.72
